ticker
CESC.NS
VOLTAS.NS
WHIRLPOOL.NS
WIPRO.NS
YESBANK.NS
AXISBANK.NS
AKASH.NS
APOLLO.NS
APOLLOHOSP.NS
ASIANPAINT.NS
BAJFINANCE.NS
BANDHANBNK.NS
BANKBARODA.NS
BANKINDIA.NS
COALINDIA.NS
HCLTECH.NS
HDFCBANK.NS
HITECH.NS
ICICIBANK.NS
ITC.NS
POWERINDIA.NS
SAFARI.NS
SANCO.NS
SUNPHARMA.NS
TATASTEEL.NS
TCS.NS
TECHNOE.NS
RELIANCE.NS
RAYMOND.NS
PVRINOX.NS
